X,Y,fid,identificatie,addr:postcode,Max_area,X_coordinate,Y_coordinate
159637.301721121,384176.47390524,17,,,795.332,159637.302,384176.474
159982.862685871,383942.470309694,21,,,4208.921,159982.863,383942.470
159634.780031805,384099.752227545,22,,,30.063,159634.780,384099.752
159508.674003946,384299.760645974,23,,,13.204,159508.674,384299.761
159513.26198407,384289.984998171,24,,,13.558,159513.262,384289.985
159518.955277722,384278.930935337,25,,,13.272,159518.955,384278.931
159546.467588996,384234.716727377,26,,,13.612,159546.468,384234.717
159554.542162733,384222.516578106,27,,,17.576,159554.542,384222.517
159567.519262143,384202.621176935,28,,,12.063,159567.519,384202.621
159573.920659613,384192.270311348,29,,,12.715,159573.921,384192.270
159580.53617941,384181.235337934,30,,,13.556,159580.536,384181.235
159586.672081091,384170.727291977,31,,,13.144,159586.672,384170.727
159541.213451943,384228.575624594,32,,,50.457,159541.213,384228.576
159552.721113763,384211.155593463,33,,,37.718,159552.721,384211.156
159569.90085448,384183.033510255,34,,,97.906,159569.901,384183.034
159758.531919136,384030.976220165,115,,,112.537,159758.532,384030.976
159854.003240396,383979.467394808,116,,,155.482,159854.003,383979.467
159950.388561871,383927.825997586,117,,,76.561,159950.389,383927.826
160025.879550989,383887.460149642,118,,,231.159,160025.880,383887.460
159713.775201477,384030.352271807,124,,,271.291,159713.775,384030.352
