scenario,num_runs,num_chargers,total_arrivals,charged,gave_up,pct_gave_up,avg_waiting_time,avg_walk_m,util_mean,util_max
scale_both_c8_m3p0,10,8,1506,341,1099.5,73.00796812749005,18.874822843746472,243.9085472162637,0.4904305555555556,0.4904305555555556
scale_both_c8_m4p0,10,8,2008,278.7,1654.4,82.39043824701196,19.626799702044686,245.88614133262956,0.3993315972222222,0.3993315972222222
scale_both_c10_m1p0,10,10,502,471.7,0,0.0,3.70888527170559,112.48881569384513,0.5344097222222223,0.5344097222222223
scale_both_c10_m1p5,10,10,757,652.2,51,6.737120211360634,12.619058378044997,178.13018012879414,0.7436736111111111,0.7436736111111111
scale_both_c10_m2p2,10,10,1106,594.2,441.9,39.954792043399635,21.289227143378657,231.87580314085415,0.6785375,0.6785375
scale_both_c10_m3p0,10,10,1506,502.9,918.1,60.962815405046484,22.801461782764218,239.35101168589256,0.5729402777777778,0.5729402777777778
scale_both_c10_m4p0,10,10,2008,388.8,1520.1,75.70219123505976,23.579633809480182,244.08758015105948,0.44637916666666666,0.44637916666666666
scale_both_c14_m1p0,10,14,502,473.8,0,0.0,1.491646383786976,83.09031449355341,0.3833035714285714,0.3833035714285714
scale_both_c14_m1p5,10,14,757,706.2,0,0.0,4.958377928241245,102.26512791537618,0.5750902777777778,0.5750902777777778
scale_both_c14_m2p2,10,14,1106,889.6,123.5,11.16636528028933,22.00664800211558,198.29526107870262,0.7249503968253969,0.7249503968253969
scale_both_c14_m3p0,10,14,1506,826.4,561,37.25099601593625,29.013496467327172,231.62052556740804,0.6737599206349206,0.6737599206349206
scale_both_c14_m4p0,10,14,2008,719.1,1137.8,56.66334661354582,31.642636578494823,245.00831460876614,0.5859355158730158,0.5859355158730158
scale_both_c18_m1p0,10,18,502,473.6,0,0.0,1.018724019006349,69.32711534205909,0.2980408950617284,0.2980408950617284
scale_both_c18_m1p5,10,18,757,709.8,0,0.0,2.545980487040766,74.72442472267932,0.44967361111111115,0.44967361111111115
scale_both_c18_m2p2,10,18,1106,1021.8,0.6,0.054249547920433995,10.75251303677624,120.48981281876527,0.6479143518518519,0.6479143518518519
scale_both_c18_m3p0,10,18,1506,1177.7,186.8,12.403718459495352,28.644708517046134,194.91190787406654,0.7469807098765432,0.7469807098765432
scale_both_c18_m4p0,10,18,2008,1029.1,787.6,39.223107569721115,36.64836729441865,228.1688047161385,0.6534621913580247,0.6534621913580247
scale_both_c22_m1p0,10,22,502,473.9,0,0.0,0.6095793096831952,57.46249963603452,0.24392929292929294,0.24392929292929294
scale_both_c22_m1p5,10,22,757,711.1,0,0.0,1.6029623416612093,60.20245864957359,0.368542297979798,0.368542297979798
scale_both_c22_m2p2,10,22,1106,1030,0,0.0,6.309187094638918,91.96886852011083,0.5343118686868686,0.5343118686868686
scale_both_c22_m3p0,10,22,1506,1371.3,3.6,0.2390438247011952,15.088147849498037,119.97396553864603,0.7113977272727273,0.7113977272727273
scale_both_c22_m4p0,10,22,2008,1365.3,422.5,21.040836653386453,38.86001301251221,206.56472392228997,0.7080189393939395,0.7080189393939395
scale_both_c26_m1p0,10,26,502,473.6,0,0.0,0.5158457656525086,49.902480593190596,0.20635897435897435,0.20635897435897435
scale_both_c26_m1p5,10,26,757,711.4,0,0.0,1.2526822104186934,52.401237486157704,0.3120619658119658,0.3120619658119658
scale_both_c26_m2p2,10,26,1106,1033.7,0,0.0,4.352382487310054,76.8395441742776,0.4534823717948718,0.4534823717948718
scale_both_c26_m3p0,10,26,1506,1396.2,0,0.0,9.1315471754391,90.12905014349352,0.6126036324786325,0.6126036324786325
scale_both_c26_m4p0,10,26,2008,1664,116.2,5.786852589641434,32.496648022484955,162.3247816387144,0.731340811965812,0.731340811965812
scale_both_c30_m1p0,10,30,502,473.7,0,0.0,0.4421363508160563,44.61745134297966,0.17886342592592594,0.17886342592592594
scale_both_c30_m1p5,10,30,757,711.9,0,0.0,0.84292587234686,44.4199241602022,0.2706898148148148,0.2706898148148148
scale_both_c30_m2p2,10,30,1106,1034.4,0,0.0,3.7409670045348418,71.54439114008044,0.3933800925925926,0.3933800925925926
scale_both_c30_m3p0,10,30,1506,1404.5,0,0.0,5.888975881975443,71.83104945099475,0.5341115740740741,0.5341115740740741
scale_both_c30_m4p0,10,30,2008,1815.6,2.1,0.1045816733067729,18.31919882612642,106.00701654526323,0.6914875,0.6914875
