,old_index,postcode,consumption,generation,supply_area_id,supply_area_name,tennet_id,RNB_postcode
89,107607,5624JB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
90,107608,5624JM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
91,107609,5624JZ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
92,107610,5624KJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
93,107611,5624KT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
94,107612,5624MD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
95,107613,5624NJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
96,107614,5624NT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
97,107615,5625AG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
98,107616,5625AR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
99,107617,5625BB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
100,107618,5625BL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
101,107619,5625BW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
102,107620,5625CH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
103,107621,5625CS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
104,107622,5625DC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
105,107623,5625EJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
106,107624,5625ET,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
107,107625,5625GE,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
108,107626,5625GP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
109,107627,5625HG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
110,107628,5625PB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
111,107629,5625PL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
112,107630,5625RA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
113,107631,5625RK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
114,107632,5625RW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
115,107633,5625SM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
116,107634,5625TG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
117,107635,5625VK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
118,107636,5625VW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
119,107637,5625WJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
120,107638,5625XA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
121,107639,5626AG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
122,107640,5626AV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
123,107641,5626BH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
124,107642,5626BS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
125,107643,5626CH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
126,107644,5626DG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
127,107645,5626DR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
128,107646,5626EB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
129,107647,5626GJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
130,107648,5626GX,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
131,107649,5626HH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
132,107650,5626HS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
133,107651,5627BA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
134,107652,5627BK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
135,107653,5627BW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
136,107654,5627CG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
137,107655,5627CR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
138,107656,5627DB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
139,107657,5627DL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
140,107658,5627DX,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
141,107659,5627EP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
142,107660,5627GB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
143,107661,5627GL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
144,107662,5627GW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
145,107663,5627HG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
146,107664,5627HR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
147,107665,5627JB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
148,107666,5627JL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
149,107667,5627JW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
150,107668,5627KG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
151,107669,5627KR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
152,107670,5627LB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
153,107671,5627LL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
154,107672,5627LW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
155,107673,5627MG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
156,107674,5627MS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
157,107675,5627ND,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
158,107676,5627NN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
159,107677,5627PB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
160,107678,5627PL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
161,107679,5627RA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
162,107680,5627SV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
