car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 44,,,,1,,arrived,arrived,389.32000981352616,,,
Car 44,,7,3,,,start_charge,starting to charge at Charger 3 (fid=7),389.32000981352616,,0.0,
Car 45,,,,116,,arrived,arrived,390.21728424310044,,,
Car 45,,79,0,,,start_charge,starting to charge at Charger 0 (fid=79),390.21728424310044,,0.0,
Car 46,,,,8,,arrived,arrived,390.5874492185069,,,
Car 46,,8,13,,,start_charge,starting to charge at Charger 13 (fid=8),390.5874492185069,,0.0,
Car 47,,,,54,,arrived,arrived,391.72321168378943,,,
Car 47,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),391.72321168378943,,0.0,
Car 29,57.0,41,18,,,done,done charging,391.8921926953164,,,52.51997627573587
Car 48,,,,84,,arrived,arrived,394.7377071334108,,,
Car 48,,91,17,,,start_charge,starting to charge at Charger 17 (fid=91),394.7377071334108,,0.0,
Car 31,58.0,10,12,,,done,done charging,396.9832819328358,,,53.460384510389034
Car 24,101.0,26,9,,,done,done charging,400.4961438242641,,,0.0
Car 49,,,,27,,arrived,arrived,401.4108754607081,,,
Car 49,,26,25,,,start_charge,starting to charge at Charger 25 (fid=26),401.4108754607081,,0.0,
Car 25,93.0,4,8,,,done,done charging,401.5282787412628,,,0.0
Car 50,,,,11,,arrived,arrived,402.1287249134617,,,
Car 50,,11,6,,,start_charge,starting to charge at Charger 6 (fid=11),402.1287249134617,,0.0,
Car 51,,,,22,,arrived,arrived,403.7364875902383,,,
Car 52,,,,9,,arrived,arrived,405.8577179616594,,,
Car 52,,10,12,,,start_charge,starting to charge at Charger 12 (fid=10),405.8577179616594,,0.0,
Car 51,,,,,22,switch,"Charger 22 (fid=17) not available, trying Charger 4 (fid=57)",408.7364875902383,4,,
Car 26,89.0,32,10,,,done,done charging,409.3063152288284,,,11.098255718787485
Car 53,,,,21,,arrived,arrived,410.6095779663169,,,
Car 53,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),410.6095779663169,,0.0,
Car 54,,,,64,,arrived,arrived,412.6845902619302,,,
Car 54,,75,28,,,start_charge,starting to charge at Charger 28 (fid=75),412.6845902619302,,0.0,
Car 55,,,,32,,arrived,arrived,412.8575811289863,,,
Car 55,,32,10,,,start_charge,starting to charge at Charger 10 (fid=32),412.8575811289863,,0.0,
Car 56,,,,39,,arrived,arrived,414.19323780688137,,,
Car 51,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 23 (fid=34)",415.0368677642179,23,,
Car 57,,,,71,,arrived,arrived,416.76265948726797,,,
Car 57,,71,7,,,start_charge,starting to charge at Charger 7 (fid=71),416.76265948726797,,0.0,
Car 58,,,,39,,arrived,arrived,416.76308603769456,,,
Car 59,,,,45,,arrived,arrived,416.9999839263736,,,
Car 59,,45,15,,,start_charge,starting to charge at Charger 15 (fid=45),416.9999839263736,,0.0,
Car 51,,34,23,,,start_charge,starting to charge at Charger 23 (fid=34),417.11943990516664,,10.0,
Car 56,,,,,16,switch,"Charger 16 (fid=50) not available, trying Charger 27 (fid=60)",419.19323780688137,27,,
Car 56,,60,27,,,start_charge,starting to charge at Charger 27 (fid=60),420.34585164009513,,5.0,
Car 60,,,,73,,arrived,arrived,420.7149706612706,,,
Car 61,,,,15,,arrived,arrived,420.7930575891217,,,
Car 61,,75,28,,,start_charge,starting to charge at Charger 28 (fid=75),420.7930575891217,,0.0,
Car 34,61.0,60,27,,,done,done charging,420.800444500133,,,59.80497675779154
Car 58,,,,,16,switch,"Charger 16 (fid=50) not available, trying Charger 27 (fid=60)",421.76308603769456,27,,
Car 58,,60,27,,,start_charge,starting to charge at Charger 27 (fid=60),422.9156998709083,,5.0,
Car 35,61.0,50,16,,,done,done charging,424.8624098329466,,,39.71132251638259
Car 62,,,,21,,arrived,arrived,425.115352420455,,,
Car 62,,79,0,,,start_charge,starting to charge at Charger 0 (fid=79),425.115352420455,,0.0,
Car 40,54.0,71,7,,,done,done charging,425.6312398678993,,,5.317805938583997
Car 63,,,,67,,arrived,arrived,425.70670323105145,,,
Car 60,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 19 (fid=63)",425.7149706612706,19,,
Car 60,,63,19,,,start_charge,starting to charge at Charger 19 (fid=63),426.1678451964839,,5.0,
Car 64,,,,58,,arrived,arrived,426.391404463774,,,
Car 30,92.0,26,9,,,done,done charging,429.21007771620106,,,5.383474064226849
Car 65,,,,64,,arrived,arrived,429.97089919412605,,,
Car 66,,,,1,,arrived,arrived,430.20942117383737,,,
Car 66,,7,3,,,start_charge,starting to charge at Charger 3 (fid=7),430.20942117383737,,0.0,
Car 67,,,,124,,arrived,arrived,430.5150593775991,,,
Car 63,,,,,22,switch,"Charger 22 (fid=17) not available, trying Charger 4 (fid=57)",430.70670323105145,4,,
Car 64,,,,,28,switch,"Charger 28 (fid=75) not available, trying Charger 3 (fid=7)",431.391404463774,3,,
Car 68,,,,4,,arrived,arrived,432.10849552142946,,,
Car 68,,4,8,,,start_charge,starting to charge at Charger 8 (fid=4),432.10849552142946,,0.0,
Car 69,,,,62,,arrived,arrived,433.1973017800759,,,
Car 70,,,,52,,arrived,arrived,433.90315538899824,,,
Car 27,112.0,57,4,,,done,done charging,434.6323080544452,,,44.57710314722751
Car 63,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),434.6323080544452,,7.625224649414179,
Car 71,,,,54,,arrived,arrived,434.63317703063973,,,
Car 65,,,,,28,switch,"Charger 28 (fid=75) not available, trying Charger 17 (fid=91)",434.97089919412605,17,,
Car 67,,,,,21,switch,"Charger 21 (fid=21) not available, trying Charger 1 (fid=23)",435.5150593775991,1,,
Car 67,,23,1,,,start_charge,starting to charge at Charger 1 (fid=23),435.64462987027395,,5.0,
Car 72,,,,73,,arrived,arrived,436.0105379076243,,,
Car 73,,,,36,,arrived,arrived,437.3246579096514,,,
Car 73,,36,5,,,start_charge,starting to charge at Charger 5 (fid=36),437.3246579096514,,0.0,
Car 74,,,,81,,arrived,arrived,438.0026852115168,,,
Car 74,,81,11,,,start_charge,starting to charge at Charger 11 (fid=81),438.0026852115168,,0.0,
Car 64,,,,,3,switch,"Charger 3 (fid=7) not available, trying Charger 17 (fid=91)",438.18496085381776,17,,
Car 69,,,,,26,switch,"Charger 26 (fid=62) not available, trying Charger 15 (fid=45)",438.1973017800759,15,,
Car 69,,45,15,,,start_charge,starting to charge at Charger 15 (fid=45),438.4380503818621,,5.0,
Car 70,,,,,3,switch,"Charger 3 (fid=7) not available, trying Charger 28 (fid=75)",438.90315538899824,28,,
Car 71,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 7 (fid=71)",439.63317703063973,7,,
Car 71,,71,7,,,start_charge,starting to charge at Charger 7 (fid=71),440.2658911145464,,5.0,
Car 75,,,,87,,arrived,arrived,440.5089554949388,,,
Car 76,,,,78,,arrived,arrived,440.5938766389152,,,
Car 76,,78,20,,,start_charge,starting to charge at Charger 20 (fid=78),440.5938766389152,,0.0,
Car 72,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 19 (fid=63)",441.0105379076243,19,,
Car 72,,63,19,,,start_charge,starting to charge at Charger 19 (fid=63),441.4634124428376,,5.0,
Car 77,,,,37,,arrived,arrived,441.6098334582104,,,
Car 78,,,,25,,arrived,arrived,442.61556310878086,,,
Car 78,,26,9,,,start_charge,starting to charge at Charger 9 (fid=26),442.61556310878086,,0.0,
Car 65,,,,,17,switch,"Charger 17 (fid=91) not available, trying Charger 3 (fid=7)",442.6574937701196,3,,
Car 33,102.0,8,13,,,done,done charging,443.4780342963583,,,0.0
Car 79,,,,54,,arrived,arrived,443.7758365793208,,,
Car 80,,,,8,,arrived,arrived,444.6060587006795,,,
Car 80,,8,13,,,start_charge,starting to charge at Charger 13 (fid=8),444.6060587006795,,0.0,
Car 81,,,,4,,arrived,arrived,445.07769275313893,,,
Car 64,,,,,17,switch,"Charger 17 (fid=91) not available, trying Charger 16 (fid=50)",445.1256184209126,16,,
Car 43,64.0,21,21,,,done,done charging,445.4018043227671,,,18.516859047878047
Car 82,,,,9,,arrived,arrived,445.4041114098308,,,
Car 82,,10,12,,,start_charge,starting to charge at Charger 12 (fid=10),445.4041114098308,,0.0,
Car 75,,,,,17,switch,"Charger 17 (fid=91) not available, trying Charger 3 (fid=7)",445.5089554949388,3,,
Car 70,,,,,28,switch,"Charger 28 (fid=75) not available, trying Charger 8 (fid=4)",445.696711779042,8,,
Car 83,,,,36,,arrived,arrived,446.1364379101094,,,
Car 83,,36,5,,,start_charge,starting to charge at Charger 5 (fid=36),446.1364379101094,,0.0,
Car 77,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 13 (fid=8)",446.6098334582104,13,,
Car 32,107.0,41,18,,,done,done charging,446.65059029670994,,,25.791607491584003
Car 84,,,,30,,arrived,arrived,446.76320198498144,,,
Car 84,,32,10,,,start_charge,starting to charge at Charger 10 (fid=32),446.76320198498144,,0.0,
Car 28,118.0,4,8,,,done,done charging,447.85483209940435,,,0.0
Car 81,,4,8,,,start_charge,starting to charge at Charger 8 (fid=4),447.85483209940435,,2.7771393462654146,
Car 79,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 7 (fid=71)",448.7758365793208,7,,
Car 64,,50,16,,,start_charge,starting to charge at Charger 16 (fid=50),449.33665751071106,,15.0,
Car 65,,,,,3,switch,"Charger 3 (fid=7) not available, trying Charger 16 (fid=50)",449.5981513372144,16,,
Car 85,,,,26,,arrived,arrived,450.29539770852296,,,
Car 85,,26,25,,,start_charge,starting to charge at Charger 25 (fid=26),450.29539770852296,,0.0,
Car 86,,,,54,,arrived,arrived,450.4450338690273,,,
Car 87,,,,14,,arrived,arrived,451.25667193261563,,,
Car 36,87.0,17,22,,,done,done charging,451.2852499223301,,,50.44993305249392
Car 77,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 6 (fid=11)",452.06270799342366,6,,
Car 75,,,,,3,switch,"Charger 3 (fid=7) not available, trying Charger 28 (fid=75)",452.4496130620336,28,,
Car 41,75.0,17,22,,,done,done charging,452.679791766974,,,66.80031167595456
Car 70,,,,,8,switch,"Charger 8 (fid=4) not available, trying Charger 16 (fid=50)",453.2864506423916,16,,
Car 77,,11,6,,,start_charge,starting to charge at Charger 6 (fid=11),453.88160481556014,,10.0,
Car 79,,,,,7,switch,"Charger 7 (fid=71) not available, trying Charger 10 (fid=32)",454.40855066322746,10,,
Car 88,,,,34,,arrived,arrived,455.3105230942259,,,
Car 88,,34,23,,,start_charge,starting to charge at Charger 23 (fid=34),455.3105230942259,,0.0,
Car 86,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 7 (fid=71)",455.4450338690273,7,,
Car 87,,,,,10,switch,"Charger 10 (fid=32) not available, trying Charger 2 (fid=15)",456.25667193261563,2,,
Car 87,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),456.67076921614694,,5.0,
Car 65,,,,,16,switch,"Charger 16 (fid=50) not available, trying Charger 8 (fid=4)",457.08320325136293,8,,
Car 42,80.0,62,26,,,done,done charging,457.13919381379486,,,101.33126143986101
Car 47,66.0,57,4,,,done,done charging,457.72321168378943,,,44.57710314722751
Car 75,,,,,28,switch,"Charger 28 (fid=75) not available, trying Charger 11 (fid=81)",459.2431694520774,11,,
Car 70,,,,,16,switch,"Charger 16 (fid=50) not available, trying Charger 11 (fid=81)",459.660998292961,11,,
Car 79,,,,,10,switch,"Charger 10 (fid=32) not available, trying Charger 2 (fid=15)",459.7596781788156,2,,
Car 89,,,,14,,arrived,arrived,459.79028546159367,,,
Car 79,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),460.1737754623469,,15.0,
Car 86,,,,,7,switch,"Charger 7 (fid=71) not available, trying Charger 10 (fid=32)",461.077747952934,10,,
Car 38,93.0,50,16,,,done,done charging,461.0985439531355,,,0.0
Car 90,,,,73,,arrived,arrived,462.0776865832221,,,
Car 91,,,,55,,arrived,arrived,462.49064064705357,,,
Car 91,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),462.49064064705357,,0.0,
Car 70,,81,11,,,start_charge,starting to charge at Charger 11 (fid=81),462.63525769997136,,20.0,
Car 65,,,,,8,switch,"Charger 8 (fid=4) not available, trying Charger 11 (fid=81)",463.4577509019323,11,,
Car 89,,,,,10,switch,"Charger 10 (fid=32) not available, trying Charger 2 (fid=15)",464.79028546159367,2,,
Car 37,99.0,62,26,,,done,done charging,464.85698941281794,,,101.33126143986101
Car 92,,,,57,,arrived,arrived,465.85788997133943,,,
Car 93,,,,5,,arrived,arrived,465.98848439485226,,,
Car 86,,,,,10,switch,"Charger 10 (fid=32) not available, trying Charger 2 (fid=15)",466.4288754685221,2,,
Car 39,98.0,91,17,,,done,done charging,467.0095920960929,,,47.01027433440798
Car 90,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 19 (fid=63)",467.0776865832221,19,,
Car 75,,,,,11,switch,"Charger 11 (fid=81) not available, trying Charger 0 (fid=79)",467.76148160666196,0,,
Car 94,,,,4,,arrived,arrived,468.4619892849603,,,
Car 95,,,,73,,arrived,arrived,470.05897240581925,,,
Car 65,,,,,11,switch,"Charger 11 (fid=81) not available, trying Charger 27 (fid=60)",470.10830784262544,27,,
Car 89,,,,,2,switch,"Charger 2 (fid=15) not available, trying Charger 4 (fid=57)",470.204382745125,4,,
Car 92,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 7 (fid=71)",470.85788997133943,7,,
Car 93,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 14 (fid=43)",470.98848439485226,14,,
Car 86,,,,,2,switch,"Charger 2 (fid=15) not available, trying Charger 6 (fid=11)",471.8429727520534,6,,
Car 90,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 12 (fid=10)",472.53056111843534,12,,
Car 75,,,,,0,switch,"Charger 0 (fid=79) not available, trying Charger 8 (fid=4)",473.3457689381195,8,,
Car 94,,,,,8,switch,"Charger 8 (fid=4) not available, trying Charger 27 (fid=60)",473.4619892849603,27,,
Car 96,,,,37,,arrived,arrived,473.48806295555215,,,
Car 93,,43,14,,,start_charge,starting to charge at Charger 14 (fid=43),473.61543489449923,,5.0,
Car 53,64.0,21,21,,,done,done charging,474.6095779663169,,,0.0
Car 95,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 19 (fid=63)",475.05897240581925,19,,
Car 62,50.0,79,0,,,done,done charging,475.115352420455,,,122.68065651113037
Car 89,,,,,4,switch,"Charger 4 (fid=57) not available, trying Charger 7 (fid=71)",476.31683294317736,7,,
Car 92,,,,,7,switch,"Charger 7 (fid=71) not available, trying Charger 10 (fid=32)",476.4906040552461,10,,
Car 58,54.0,60,27,,,done,done charging,476.9156998709083,,,132.86277777089586
Car 65,,60,27,,,start_charge,starting to charge at Charger 27 (fid=60),476.9156998709083,,34.53551375762271,
Car 45,87.0,79,0,,,done,done charging,477.21728424310044,,,26.741466246258224
Car 54,65.0,75,28,,,done,done charging,477.6845902619302,,,108.51930965961243
Car 86,,,,,6,switch,"Charger 6 (fid=11) not available, trying Charger 22 (fid=17)",478.38504143462876,22,,
Car 96,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 13 (fid=8)",478.48806295555215,13,,
Car 97,,,,73,,arrived,arrived,478.490731727615,,,
Car 90,,,,,12,switch,"Charger 12 (fid=10) not available, trying Charger 6 (fid=11)",478.5811979356751,6,,
Car 98,,,,37,,arrived,arrived,478.80429384310986,,,
Car 94,,,,,27,switch,"Charger 27 (fid=60) not available, trying Charger 15 (fid=45)",479.1799361848137,15,,
Car 99,,,,72,,arrived,arrived,480.1764109637647,,,
Car 95,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 12 (fid=10)",480.5118469410325,12,,
Car 75,,,,,8,switch,"Charger 8 (fid=4) not available, trying Charger 16 (fid=50)",480.5723458766572,16,,
Car 86,,17,22,,,start_charge,starting to charge at Charger 22 (fid=17),480.9825941298199,,25.0,
Car 100,,,,37,,arrived,arrived,481.01653124955965,,,
Car 46,91.0,8,13,,,done,done charging,481.5874492185069,,,0.0
Car 97,,8,13,,,start_charge,starting to charge at Charger 13 (fid=8),481.5874492185069,,3.0967174908918764,
Car 92,,,,,10,switch,"Charger 10 (fid=32) not available, trying Charger 21 (fid=21)",481.8417315708342,21,,
Car 75,,50,16,,,start_charge,starting to charge at Charger 16 (fid=50),481.94689352722656,,30.0,
Car 89,,,,,7,switch,"Charger 7 (fid=71) not available, trying Charger 5 (fid=36)",481.949547027084,5,,
Car 101,,,,118,,arrived,arrived,481.98728794585395,,,
Car 92,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),482.4041722170553,,15.0,
Car 102,,,,74,,arrived,arrived,483.7784341825604,,,
Car 98,,,,,19,switch,"Charger 19 (fid=63) not available, trying Charger 13 (fid=8)",483.80429384310986,13,,
Car 96,,,,,13,switch,"Charger 13 (fid=8) not available, trying Charger 6 (fid=11)",483.9409374907654,6,,
Car 94,,,,,15,switch,"Charger 15 (fid=45) not available, trying Charger 26 (fid=62)",484.77151403107604,26,,
Car 103,,,,36,,arrived,arrived,485.00128814598594,,,
Car 94,,62,26,,,start_charge,starting to charge at Charger 26 (fid=62),485.01226263286225,,15.0,
Car 50,83.0,11,6,,,done,done charging,485.1287249134617,,,0.0
Car 90,,11,6,,,start_charge,starting to charge at Charger 6 (fid=11),485.1287249134617,,19.66517860789554,
