car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 91,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",290.0,4,
Car 53,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",294.48413509728204,4,
Car 91,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",295.79050609035977,0,
Car 53,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",298.63558553523245,1,
Car 91,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",299.9419565283102,2,
Car 53,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),304.0446239789971,,
Car 91,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",306.70719294237875,5,
Car 41,,,,116,,arrived,,arrived,310.0,,
Car 41,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",311.0,4,
Car 91,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",313.1885874765474,1,
Car 98,118.0,8,2,,,done,,done charging,314.0,,51.031920891441445
Car 41,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",315.1514504379504,3,
Car 91,,,,,,gave_up,1,"no alternate charger available, gave up",316.1441302809941,,
Car 101,49.0,11,4,,,done,,done charging,316.1514504379504,,327.72737963319236
Car 41,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",320.9419565283102,1,
Car 76,97.0,47,5,,,done,,done charging,321.39808138618764,,387.6333034317777
Car 83,69.0,115,0,,,done,,done charging,323.92523315027586,,488.3450025910799
Car 15,,,,34,,arrived,,arrived,330.0,,
Car 41,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",330.46925190508364,5,
Car 15,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",331.0,5,
Car 41,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),332.4247947095303,,
Car 15,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 0 (fid=115)",333.9555428044467,0,
Car 86,77.0,12,3,,,done,,done charging,335.94195652831013,,362.423366721076
Car 8,,,,62,,arrived,,arrived,336.0,,
Car 8,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),336.0,,
Car 15,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),338.1780661340934,,
Car 10,,,,15,,arrived,,arrived,355.0,,
Car 10,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",356.0,4,
Car 10,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",360.1514504379504,3,
Car 10,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),364.9419565283102,,
Car 12,,,,124,,arrived,,arrived,372.0,,
Car 65,,,,84,,arrived,,arrived,372.0,,
Car 12,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",373.0,4,
