car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 408,,,,56,,arrived,arrived,136.0,,,
Car 151,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),136.0,,0.0,
Car 408,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),136.0,,0.0,
Car 88,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),136.84494513589746,,5.0,
Car 325,66.0,51,9,,,done,done charging,137.15622591677675,,,177.1905918411081
Car 465,108.0,31,13,,,done,done charging,139.0,,,16.044241334509135
Car 464,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",140.0,2,,
Car 464,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),142.36280346164457,,5.0,
Car 477,94.0,17,2,,,done,done charging,143.0,,,232.13972624262385
Car 219,84.0,7,1,,,done,done charging,145.0,,,54.86803450095119
Car 295,93.0,34,8,,,done,done charging,147.0,,,81.91485887801264
Car 100,,,,1,,arrived,arrived,148.0,,,
Car 168,93.0,17,2,,,done,done charging,148.0,,,161.3068235537577
Car 100,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),148.0,,0.0,
Car 488,,,,91,,arrived,arrived,153.0,,,
Car 488,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),153.0,,0.0,
Car 279,81.0,1,0,,,done,done charging,156.0,,,0.0
Car 499,86.0,17,4,,,done,done charging,157.0,,,226.96083866827195
Car 86,50.0,31,13,,,done,done charging,157.0,,,33.63526893009036
Car 15,,,,71,,arrived,arrived,159.0,,,
Car 213,,,,60,,arrived,arrived,159.0,,,
Car 15,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),159.0,,0.0,
Car 213,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),159.0,,0.0,
Car 227,62.0,31,13,,,done,done charging,159.94815350907356,,,262.94470458254835
Car 273,55.0,19,3,,,done,done charging,160.0,,,47.45420779023396
Car 404,74.0,1,0,,,done,done charging,163.0,,,0.0
Car 259,69.0,34,8,,,done,done charging,164.8129589816491,,,48.406794585045574
Car 9,,,,8,,arrived,arrived,165.0,,,
Car 9,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),165.0,,0.0,
Car 99,75.0,34,7,,,done,done charging,166.0,,,0.0
Car 406,,,,73,,arrived,arrived,167.0,,,
Car 239,,,,8,,arrived,arrived,169.0,,,
Car 497,,,,66,,arrived,arrived,170.0,,,
Car 406,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",172.0,2,,
Car 239,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",174.0,2,,
Car 406,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),174.36280346164457,,5.0,
Car 103,,,,8,,arrived,arrived,175.0,,,
Car 107,95.0,34,8,,,done,done charging,175.0,,,20.802131861869114
Car 497,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 2 (fid=17)",175.0,2,,
Car 239,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),176.36280346164457,,5.0,
Car 357,,,,64,,arrived,arrived,177.0,,,
Car 357,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),177.0,,0.0,
Car 497,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),178.15622591677678,,5.0,
Car 435,60.0,17,4,,,done,done charging,180.0,,,63.17084676494397
Car 103,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",180.0,2,,
Car 103,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),182.36280346164457,,5.0,
Car 359,103.0,51,9,,,done,done charging,183.0,,,0.0
Car 284,95.0,23,12,,,done,done charging,185.0,,,5.399523404907862
Car 398,,,,50,,arrived,arrived,188.0,,,
Car 398,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),188.0,,0.0,
Car 157,104.0,7,1,,,done,done charging,189.0,,,118.72914267356212
Car 230,105.0,34,7,,,done,done charging,193.0,,,5.797610714759854
Car 275,,,,85,,arrived,arrived,196.0,,,
Car 275,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),196.0,,0.0,
Car 300,,,,45,,arrived,arrived,197.0,,,
Car 88,62.0,1,0,,,done,done charging,198.84494513589746,,,129.11660621313655
Car 375,,,,68,,arrived,arrived,199.0,,,
Car 400,100.0,51,9,,,done,done charging,199.0,,,128.4087684895338
Car 375,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),199.0,,0.0,
Car 261,94.0,51,9,,,done,done charging,200.0,,,163.6678377812614
Car 300,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 9 (fid=51)",202.0,9,,
Car 300,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),205.15622591677678,,5.0,
Car 123,75.0,31,13,,,done,done charging,207.0,,,85.54541461119372
Car 41,,,,73,,arrived,arrived,208.0,,,
Car 416,,,,72,,arrived,arrived,211.0,,,
Car 416,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),211.0,,0.0,
Car 253,,,,45,,arrived,arrived,212.0,,,
Car 178,108.0,3,5,,,done,done charging,212.0,,,0.0
Car 41,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",213.0,2,,
Car 49,,,,42,,arrived,arrived,215.0,,,
Car 60,108.0,17,4,,,done,done charging,215.0,,,155.010897629833
Car 49,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),215.0,,0.0,
Car 253,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 9 (fid=51)",217.0,9,,
Car 341,,,,70,,arrived,arrived,218.0,,,
Car 341,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),218.0,,0.0,
Car 110,,,,57,,arrived,arrived,219.0,,,
Car 110,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),219.0,,0.0,
Car 253,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),220.15622591677678,,5.0,
Car 41,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 13 (fid=31)",220.36280346164457,13,,
Car 41,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),220.9481535090736,,10.0,
Car 24,,,,31,,arrived,arrived,222.0,,,
Car 151,86.0,7,1,,,done,done charging,222.0,,,168.026372602651
Car 24,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),222.0,,0.0,
Car 497,45.0,17,2,,,done,done charging,223.15622591677678,,,309.44969592164466
Car 324,,,,62,,arrived,arrived,225.0,,,
Car 470,,,,61,,arrived,arrived,225.0,,,
Car 268,94.0,17,4,,,done,done charging,225.0,,,144.75845650600084
Car 324,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),225.0,,0.0,
Car 229,,,,67,,arrived,arrived,226.0,,,
Car 229,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),226.0,,0.0,
Car 343,,,,30,,arrived,arrived,227.0,,,
Car 293,,,,60,,arrived,arrived,229.0,,,
Car 20,112.0,17,4,,,done,done charging,230.0,,,154.98420977957397
