car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 136,,,,29,,arrived,arrived,157.0,,
Car 265,45.0,31,6,,,done,done charging,157.2557875106072,,71.68114636112008
Car 147,,,,38,,arrived,arrived,158.0,,
Car 136,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",158.0,14,
Car 147,,48,24,,,start_charge,starting to charge at Charger 24 (fid=48),158.0,,
Car 136,,28,14,,,start_charge,starting to charge at Charger 14 (fid=28),158.65837531809632,,
Car 298,,,,56,,arrived,arrived,163.0,,
Car 298,,56,20,,,start_charge,starting to charge at Charger 20 (fid=56),163.0,,
Car 28,49.0,28,9,,,done,done charging,171.49212426975703,,144.81689490596708
Car 129,62.0,57,26,,,done,done charging,177.76358758276245,,82.45189354461284
Car 142,84.0,115,0,,,done,done charging,178.05795480130496,,134.76197774408936
Car 139,,,,57,,arrived,arrived,190.0,,
Car 263,73.0,40,11,,,done,done charging,190.0,,193.95086709144965
Car 139,,57,26,,,start_charge,starting to charge at Charger 26 (fid=57),190.0,,
Car 170,,,,116,,arrived,arrived,194.0,,
Car 170,,22,7,,,start_charge,starting to charge at Charger 7 (fid=22),194.0,,
Car 49,,,,51,,arrived,arrived,196.0,,
Car 92,,,,8,,arrived,arrived,196.0,,
Car 99,,,,37,,arrived,arrived,196.0,,
Car 49,,51,22,,,start_charge,starting to charge at Charger 22 (fid=51),196.0,,
Car 92,,8,2,,,start_charge,starting to charge at Charger 2 (fid=8),196.0,,
Car 99,,65,27,,,start_charge,starting to charge at Charger 27 (fid=65),196.0,,
Car 245,,,,2,,arrived,arrived,200.0,,
Car 245,,,,,18,switch,"Charger 18 (fid=88) not available, trying Charger 10 (fid=86)",201.0,10,
Car 212,,,,63,,arrived,arrived,203.0,,
Car 245,,,,,10,switch,"Charger 10 (fid=86) not available, trying Charger 21 (fid=82)",203.3476110604253,21,
Car 218,119.0,35,28,,,done,done charging,204.0,,99.98936620067983
Car 212,,,,,27,switch,"Charger 27 (fid=65) not available, trying Charger 2 (fid=8)",204.0,2,
Car 245,,82,21,,,start_charge,starting to charge at Charger 21 (fid=82),204.88275338799727,,
Car 116,,,,44,,arrived,arrived,205.0,,
Car 116,,47,5,,,start_charge,starting to charge at Charger 5 (fid=47),205.0,,
Car 267,,,,41,,arrived,arrived,206.0,,
Car 267,,31,6,,,start_charge,starting to charge at Charger 6 (fid=31),206.0,,
Car 212,,,,,2,switch,"Charger 2 (fid=8) not available, trying Charger 13 (fid=78)",206.53448962911727,13,
Car 70,,,,11,,arrived,arrived,207.0,,
Car 70,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 26 (fid=57)",208.0,26,
Car 212,,78,13,,,start_charge,starting to charge at Charger 13 (fid=78),208.80113215701286,,
Car 144,80.0,26,15,,,done,done charging,209.81476565163618,,106.57256155958785
Car 297,,,,1,,arrived,arrived,210.0,,
Car 297,,12,3,,,start_charge,starting to charge at Charger 3 (fid=12),210.0,,
Car 70,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 25 (fid=70)",211.23934569774812,25,
Car 70,,70,25,,,start_charge,starting to charge at Charger 25 (fid=70),212.33736038236617,,
Car 83,105.0,11,4,,,done,done charging,213.4993698683711,,229.3043503568383
Car 23,,,,7,,arrived,arrived,217.0,,
Car 23,,,,,22,switch,"Charger 22 (fid=51) not available, trying Charger 18 (fid=88)",218.0,18,
Car 281,,,,68,,arrived,arrived,219.0,,
Car 281,,21,19,,,start_charge,starting to charge at Charger 19 (fid=21),219.0,,
Car 203,,,,53,,arrived,arrived,221.0,,
Car 203,,,,,22,switch,"Charger 22 (fid=51) not available, trying Charger 17 (fid=75)",222.0,17,
Car 23,,,,,18,switch,"Charger 18 (fid=88) not available, trying Charger 10 (fid=86)",223.61532223003508,10,
Car 122,71.0,75,17,,,done,done charging,224.8914066611921,,285.84366389861236
Car 203,,75,17,,,start_charge,starting to charge at Charger 17 (fid=75),224.8914066611921,,
Car 23,,,,,10,switch,"Charger 10 (fid=86) not available, trying Charger 21 (fid=82)",225.96293329046037,21,
Car 287,113.0,33,1,,,done,done charging,226.7766811394861,,174.78676459521074
