car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 305,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 4 (fid=25)",126.72969303383546,4,
Car 136,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 3 (fid=17)",128.16439613345324,3,
Car 8,,,,44,,arrived,,arrived,129.0,,
Car 299,109.0,25,4,,,done,,done charging,130.0,,216.91536438145545
Car 8,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",130.0,2,
Car 54,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",130.526515664966,2,
Car 197,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",130.80426895668862,0,
Car 136,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",131.4003528556216,0,
Car 8,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 4 (fid=25)",131.72969303383547,4,
Car 286,,,,,,gave_up,5,"no alternate charger available, gave up",132.21953010243345,,
Car 305,,25,4,,,start_charge,,starting to charge at Charger 4 (fid=25),132.2323358381394,,
Car 54,,,,,,gave_up,2,"no alternate charger available, gave up",132.2562086988015,,
Car 44,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",132.80426895668862,0,
Car 136,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",133.8837357761074,4,
Car 197,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",134.10247568645943,3,
Car 94,,,,58,,arrived,,arrived,135.0,,
Car 94,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 6 (fid=6)",136.0,6,
Car 44,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",136.10247568645943,4,
Car 197,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",136.5858586069452,6,
Car 136,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",136.66187252226084,5,
Car 8,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 0 (fid=30)",138.23233583813942,0,
Car 44,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 3 (fid=17)",138.88061243261288,3,
Car 197,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 4 (fid=25)",139.7673133642431,4,
Car 8,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 7 (fid=11)",141.01047258429287,7,
Car 44,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",141.5518183026642,6,
Car 94,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 7 (fid=11)",142.7454127899363,7,
Car 136,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",143.7184193325901,1,
Car 197,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",143.9915484661759,5,
Car 8,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 3 (fid=17)",144.30867931406368,3,
Car 44,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 5 (fid=91)",144.7332730599621,5,
Car 166,70.0,48,1,,,done,,done charging,145.5252975526875,,412.46783747956107
Car 94,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 3 (fid=17)",145.9098089233895,3,
Car 8,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",147.54463603623205,6,
Car 228,61.0,49,2,,,done,,done charging,148.25620869880146,,687.1622808026885
Car 94,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",149.14576564555787,0,
Car 8,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 5 (fid=91)",150.72609079352995,5,
Car 197,,,,,,gave_up,5,"no alternate charger available, gave up",151.04809527650517,,
Car 44,,,,,,gave_up,5,"no alternate charger available, gave up",151.4786858498984,,
Car 94,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",151.62914856604365,4,
Car 163,,,,16,,arrived,,arrived,152.0,,
Car 91,,,,3,,arrived,,arrived,153.0,,
Car 221,93.0,91,5,,,done,,done charging,153.0,,204.5536885812792
Car 163,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",153.0,0,
Car 136,,48,1,,,start_charge,,starting to charge at Charger 1 (fid=48),153.5810176298365,,
Car 91,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",154.0,6,
Car 94,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 1 (fid=48)",154.4072853121971,1,
