car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 63,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 3 (fid=12)",241.58868582937114,3,
Car 83,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",244.82344941530255,0,
Car 104,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",245.08037096833144,1,
Car 36,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",247.67231544881022,3,
Car 86,,,,14,,arrived,,arrived,249.0,,
Car 83,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",249.73052845004418,3,
Car 86,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",250.0,3,
Car 63,,,,,,gave_up,3,"no alternate charger available, gave up",251.11598120614457,,
Car 104,,,,,,gave_up,1,"no alternate charger available, gave up",251.90382038363398,,
Car 142,83.0,33,1,,,done,,done charging,256.0114304740555,,452.54588733081715
Car 83,,,,,,gave_up,3,"no alternate charger available, gave up",256.2146635473262,,
Car 36,,,,,,gave_up,3,"no alternate charger available, gave up",256.2685513198596,,
Car 86,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",256.48413509728204,1,
Car 58,101.0,12,3,,,done,,done charging,257.48413509728204,,315.93422947951876
Car 153,90.0,115,0,,,done,,done charging,261.5886858293711,,432.14913457260855
Car 101,,,,116,,arrived,,arrived,263.0,,
Car 101,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),263.0,,
Car 86,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),265.0114304740555,,
Car 53,,,,74,,arrived,,arrived,287.0,,
Car 53,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),287.0,,
Car 91,,,,90,,arrived,,arrived,289.0,,
Car 91,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",290.0,0,
Car 29,69.0,8,2,,,done,,done charging,294.59623587104943,,541.1267441860529
Car 91,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",296.48413509728204,2,
Car 91,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),302.2493715113506,,
Car 41,,,,116,,arrived,,arrived,310.0,,
Car 41,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",311.0,3,
Car 101,49.0,115,0,,,done,,done charging,312.0,,189.21569310227977
Car 41,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",317.48413509728204,1,
Car 41,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",327.0114304740555,2,
Car 15,,,,34,,arrived,,arrived,330.0,,
Car 15,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",331.0,0,
Car 41,,,,,,gave_up,2,"no alternate charger available, gave up",333.83487988935804,,
Car 15,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),334.9070790347416,,
Car 8,,,,62,,arrived,,arrived,336.0,,
Car 8,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",337.0,0,
Car 154,,,,56,,arrived,,arrived,340.0,,
Car 154,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",341.0,2,
Car 86,77.0,33,1,,,done,,done charging,342.0114304740555,,393.3923966860516
Car 8,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",343.76523641406857,3,
Car 154,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",347.76523641406857,1,
Car 8,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",350.2493715113506,1,
Car 154,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),353.5886858293711,,
Car 10,,,,15,,arrived,,arrived,355.0,,
Car 127,,,,53,,arrived,,arrived,355.0,,
Car 10,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",356.0,3,
Car 127,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",356.0,2,
Car 8,,,,,,gave_up,1,"no alternate charger available, gave up",359.77666688812405,,
Car 10,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",362.48413509728204,1,
Car 127,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",364.59623587104943,0,
Car 111,,,,44,,arrived,,arrived,369.0,,
