car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 138,,34,10,,,start_charge,starting to charge at Charger 10 (fid=34),475.0,,
Car 52,,,,37,,arrived,arrived,488.0,,
Car 52,,9,9,,,start_charge,starting to charge at Charger 9 (fid=9),488.0,,
Car 77,,,,73,,arrived,arrived,489.0,,
Car 144,,,,37,,arrived,arrived,489.0,,
Car 77,,,,,9,switch,"Charger 9 (fid=9) not available, trying Charger 5 (fid=78)",490.0,5,
Car 144,,,,,9,switch,"Charger 9 (fid=9) not available, trying Charger 4 (fid=48)",490.0,4,
Car 77,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),492.0251507374407,,
Car 125,,,,124,,arrived,arrived,495.0,,
Car 125,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),495.0,,
Car 144,,48,4,,,start_charge,starting to charge at Charger 4 (fid=48),495.63171545603126,,
Car 60,118.0,33,12,,,done,done charging,497.4425224589606,,174.78676459521074
Car 152,53.0,21,21,,,done,done charging,498.0,,25.89714133594584
Car 143,93.0,70,2,,,done,done charging,504.59518555183774,,103.84221795412427
Car 127,,,,41,,arrived,arrived,517.0,,
Car 127,,27,18,,,start_charge,starting to charge at Charger 18 (fid=27),517.0,,
Car 74,110.0,25,20,,,done,done charging,520.0238824222195,,72.66578103420994
Car 155,,,,19,,arrived,arrived,522.0,,
Car 155,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",523.0,2,
Car 155,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),523.5951855518377,,
Car 109,,,,13,,arrived,arrived,536.0,,
Car 109,,,,,10,switch,"Charger 10 (fid=34) not available, trying Charger 18 (fid=27)",537.0,18,
Car 109,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",539.5383653405578,12,
Car 109,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),540.4425224589605,,
Car 19,,,,32,,arrived,arrived,546.0,,
Car 19,,30,15,,,start_charge,starting to charge at Charger 15 (fid=30),546.0,,
Car 141,,,,25,,arrived,arrived,547.0,,
Car 141,,25,20,,,start_charge,starting to charge at Charger 20 (fid=25),547.0,,
Car 125,54.0,71,14,,,done,done charging,549.0,,107.70070636451135
Car 87,,,,69,,arrived,arrived,550.0,,
Car 87,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),550.0,,
Car 5,,,,53,,arrived,arrived,551.0,,
Car 5,,75,8,,,start_charge,starting to charge at Charger 8 (fid=75),551.0,,
Car 36,,,,49,,arrived,arrived,555.0,,
Car 36,,,,,4,switch,"Charger 4 (fid=48) not available, trying Charger 18 (fid=27)",556.0,18,
Car 36,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",557.7999222933267,12,
Car 36,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 20 (fid=25)",559.7040794117295,20,
Car 138,85.0,34,10,,,done,done charging,560.0,,94.71992085082361
Car 36,,,,,20,switch,"Charger 20 (fid=25) not available, trying Charger 10 (fid=34)",561.8238047155462,10,
Car 36,,34,10,,,start_charge,starting to charge at Charger 10 (fid=34),563.577738241518,,
Car 52,79.0,9,9,,,done,done charging,567.0,,200.13849421586906
Car 15,,,,118,,arrived,arrived,572.0,,
Car 15,,117,19,,,start_charge,starting to charge at Charger 19 (fid=117),572.0,,
Car 155,49.0,70,2,,,done,done charging,572.5951855518377,,103.84221795412427
Car 77,83.0,78,5,,,done,done charging,575.0251507374408,,287.88250201450325
Car 144,91.0,48,4,,,done,done charging,586.6317154560313,,303.27881927212394
Car 70,,,,61,,arrived,arrived,591.0,,
Car 70,,61,6,,,start_charge,starting to charge at Charger 6 (fid=61),591.0,,
Car 65,,,,47,,arrived,arrived,594.0,,
Car 65,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 4 (fid=48)",595.0,4,
Car 65,,48,4,,,start_charge,starting to charge at Charger 4 (fid=48),595.7999222933267,,
Car 5,48.0,75,8,,,done,done charging,599.0,,148.79444202525764
Car 23,,,,48,,arrived,arrived,601.0,,
Car 23,,,,,4,switch,"Charger 4 (fid=48) not available, trying Charger 18 (fid=27)",602.0,18,
Car 23,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",603.7999222933267,12,
Car 139,,,,74,,arrived,arrived,605.0,,
Car 139,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),605.0,,
Car 23,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 20 (fid=25)",605.7040794117295,20,
Car 23,,,,,20,switch,"Charger 20 (fid=25) not available, trying Charger 10 (fid=34)",607.8238047155462,10,
Car 23,,,,,10,switch,"Charger 10 (fid=34) not available, trying Charger 14 (fid=71)",610.577738241518,14,
Car 46,,,,66,,arrived,arrived,611.0,,
Car 46,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),611.0,,
Car 127,95.0,27,18,,,done,done charging,612.0,,123.62902449093178
Car 49,,,,89,,arrived,arrived,615.0,,
Car 49,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),615.0,,
Car 23,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 15 (fid=30)",615.3138994334711,15,
Car 37,,,,50,,arrived,arrived,616.0,,
Car 37,,,,,6,switch,"Charger 6 (fid=61) not available, trying Charger 17 (fid=3)",617.0,17,
Car 23,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",617.2508016110613,0,
Car 23,,31,0,,,start_charge,starting to charge at Charger 0 (fid=31),617.5518219148271,,
Car 37,,3,17,,,start_charge,starting to charge at Charger 17 (fid=3),618.6815725262161,,
Car 15,48.0,117,19,,,done,done charging,620.0,,121.35565441136606
Car 95,,,,40,,arrived,arrived,622.0,,
Car 95,,,,,6,switch,"Charger 6 (fid=61) not available, trying Charger 17 (fid=3)",623.0,17,
Car 95,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 9 (fid=9)",625.6815725262161,9,
Car 87,76.0,71,14,,,done,done charging,626.0,,111.27157422762313
Car 95,,9,9,,,start_charge,starting to charge at Charger 9 (fid=9),629.7693258274314,,
Car 28,,,,1,,arrived,arrived,634.0,,
Car 51,,,,56,,arrived,arrived,634.0,,
Car 28,,81,7,,,start_charge,starting to charge at Charger 7 (fid=81),634.0,,
Car 51,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),634.0,,
Car 156,,,,20,,arrived,arrived,641.0,,
Car 32,,,,40,,arrived,arrived,642.0,,
Car 156,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",642.0,2,
Car 156,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),642.5951855518377,,
Car 32,,,,,6,switch,"Charger 6 (fid=61) not available, trying Charger 17 (fid=3)",643.0,17,
Car 40,,,,3,,arrived,arrived,644.0,,
Car 59,,,,91,,arrived,arrived,645.0,,
Car 40,,,,,21,switch,"Charger 21 (fid=21) not available, trying Charger 19 (fid=117)",645.0,19,
Car 40,,117,19,,,start_charge,starting to charge at Charger 19 (fid=117),645.5547851048764,,
Car 32,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 9 (fid=9)",645.6815725262161,9,
Car 59,,,,,1,switch,"Charger 1 (fid=76) not available, trying Charger 11 (fid=2)",646.0,11,
Car 59,,2,11,,,start_charge,starting to charge at Charger 11 (fid=2),647.8976695341206,,
Car 32,,,,,9,switch,"Charger 9 (fid=9) not available, trying Charger 8 (fid=75)",650.7693258274314,8,
Car 109,116.0,33,12,,,done,done charging,656.4425224589605,,233.5912937510644
Car 32,,75,8,,,start_charge,starting to charge at Charger 8 (fid=75),656.9382217535536,,
Car 19,118.0,30,15,,,done,done charging,664.0,,27.04582933904849
Car 23,47.0,31,0,,,done,done charging,664.5518219148271,,410.49699944420047
Car 108,,,,42,,arrived,arrived,666.0,,
Car 141,119.0,25,20,,,done,done charging,666.0,,17.873820652346947
Car 108,,,,,10,switch,"Charger 10 (fid=34) not available, trying Charger 18 (fid=27)",667.0,18,
Car 108,,27,18,,,start_charge,starting to charge at Charger 18 (fid=27),668.5383653405578,,
Car 36,109.0,34,10,,,done,done charging,672.577738241518,,218.5225961696705
Car 96,,,,48,,arrived,arrived,673.0,,
Car 96,,,,,4,switch,"Charger 4 (fid=48) not available, trying Charger 18 (fid=27)",674.0,18,
Car 96,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",675.7999222933267,12,
Car 96,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),676.7040794117295,,
Car 28,49.0,81,7,,,done,done charging,683.0,,202.96976209200324
Car 156,50.0,70,2,,,done,done charging,692.5951855518377,,114.93687588395483
Car 49,78.0,76,1,,,done,done charging,693.0,,98.51714148768994
Car 37,75.0,3,17,,,done,done charging,693.6815725262161,,259.51105596595494
Car 65,98.0,48,4,,,done,done charging,693.7999222933267,,98.46545458802665
Car 51,61.0,71,14,,,done,done charging,695.0,,117.39510437004796
Car 79,,,,14,,arrived,arrived,699.0,,
Car 79,,30,15,,,start_charge,starting to charge at Charger 15 (fid=30),699.0,,
Car 70,111.0,61,6,,,done,done charging,702.0,,73.86911372006875
Car 46,103.0,78,5,,,done,done charging,714.0,,192.91281186890677
Car 108,48.0,27,18,,,done,done charging,716.5383653405578,,150.94294346912378
Car 59,69.0,2,11,,,done,done charging,716.8976695341206,,152.1883658800694
Car 128,,,,62,,arrived,arrived,717.0,,
Car 128,,61,6,,,start_charge,starting to charge at Charger 6 (fid=61),717.0,,
Car 12,,,,60,,arrived,arrived,718.0,,
Car 139,113.0,21,21,,,done,done charging,718.0,,150.3991218182134
Car 12,,,,,6,switch,"Charger 6 (fid=61) not available, trying Charger 9 (fid=9)",719.0,9,
Car 81,,,,25,,arrived,arrived,720.0,,
Car 81,,25,16,,,start_charge,starting to charge at Charger 16 (fid=25),720.0,,
Car 12,,,,,9,switch,"Charger 9 (fid=9) not available, trying Charger 3 (fid=17)",723.2929648532714,3,
Car 12,,17,3,,,start_charge,starting to charge at Charger 3 (fid=17),727.7909642376761,,
Car 32,88.0,75,8,,,done,done charging,744.9382217535536,,324.1541748773021
Car 96,69.0,33,12,,,done,done charging,745.7040794117295,,136.40103856914536
Car 8,,,,11,,arrived,arrived,748.0,,
Car 8,,,,,3,switch,"Charger 3 (fid=17) not available, trying Charger 14 (fid=71)",749.0,14,
Car 95,120.0,9,9,,,done,done charging,749.7693258274314,,284.4546795785905
Car 8,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),751.1327239675247,,
Car 45,,,,29,,arrived,arrived,756.0,,
Car 48,,,,15,,arrived,arrived,756.0,,
Car 45,,34,13,,,start_charge,starting to charge at Charger 13 (fid=34),756.0,,
Car 48,,75,8,,,start_charge,starting to charge at Charger 8 (fid=75),756.0,,
Car 79,59.0,30,15,,,done,done charging,758.0,,38.48174547603649
Car 102,,,,70,,arrived,arrived,762.0,,
Car 102,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",763.0,2,
Car 102,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),763.5951855518377,,
Car 99,,,,52,,arrived,arrived,764.0,,
Car 99,,2,11,,,start_charge,starting to charge at Charger 11 (fid=2),764.0,,
Car 40,119.0,117,19,,,done,done charging,764.5547851048764,,115.20023185892434
Car 129,,,,56,,arrived,arrived,768.0,,
Car 129,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",769.0,2,
Car 111,,,,74,,arrived,arrived,770.0,,
Car 111,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),770.0,,
Car 129,,,,,2,switch,"Charger 2 (fid=70) not available, trying Charger 15 (fid=30)",770.5951855518377,15,
Car 129,,30,15,,,start_charge,starting to charge at Charger 15 (fid=30),771.5816946874774,,
Car 81,52.0,25,16,,,done,done charging,772.0,,34.595726901767414
Car 25,,,,80,,arrived,arrived,773.0,,
Car 33,,,,42,,arrived,arrived,773.0,,
Car 33,,34,10,,,start_charge,starting to charge at Charger 10 (fid=34),773.0,,
Car 25,,,,,13,switch,"Charger 13 (fid=34) not available, trying Charger 3 (fid=17)",774.0,3,
Car 25,,,,,3,switch,"Charger 3 (fid=17) not available, trying Charger 15 (fid=30)",776.1324142779749,15,
Car 100,,,,71,,arrived,arrived,778.0,,
Car 25,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",778.6157971984607,0,
Car 25,,31,0,,,start_charge,starting to charge at Charger 0 (fid=31),778.9168175022264,,
Car 100,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",779.0,2,
Car 100,,,,,2,switch,"Charger 2 (fid=70) not available, trying Charger 15 (fid=30)",780.5951855518377,15,
