car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 16,108.0,12,15,,,done,done charging,815.8559066030543,,205.4257171260941
Car 73,89.0,8,11,,,done,done charging,835.0,,118.27804678478897
Car 9,69.0,56,16,,,done,done charging,842.6640092182422,,260.7364635751581
Car 37,,,,118,,arrived,arrived,850.0,,
Car 37,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),850.0,,
Car 13,103.0,69,7,,,done,done charging,851.3329430367411,,170.98456786541246
Car 61,112.0,54,17,,,done,done charging,852.0,,118.94727513613948
Car 78,60.0,84,3,,,done,done charging,855.0,,124.26253532083138
Car 6,,,,16,,arrived,arrived,858.0,,
Car 6,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),858.0,,
Car 95,,,,5,,arrived,arrived,861.0,,
Car 95,,65,12,,,start_charge,starting to charge at Charger 12 (fid=65),861.0,,
Car 28,81.0,30,6,,,done,done charging,871.0,,140.18943229396962
Car 36,,,,22,,arrived,arrived,881.0,,
Car 36,,13,8,,,start_charge,starting to charge at Charger 8 (fid=13),881.0,,
Car 89,,,,118,,arrived,arrived,888.0,,
Car 89,,,,,15,switch,"Charger 15 (fid=12) not available, trying Charger 13 (fid=28)",889.0,13,
Car 89,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 1 (fid=20)",893.8559066030543,1,
Car 89,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),896.3170480488759,,
Car 33,95.0,42,0,,,done,done charging,897.6117850488388,,145.6195163910617
Car 49,,,,18,,arrived,arrived,902.0,,
Car 49,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",903.0,17,
Car 49,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 1 (fid=20)",906.2981393821472,1,
Car 49,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",909.6277342351243,7,
Car 49,,69,7,,,start_charge,starting to charge at Charger 7 (fid=69),910.3329430367411,,
Car 72,,,,3,,arrived,arrived,915.0,,
Car 72,,75,10,,,start_charge,starting to charge at Charger 10 (fid=75),915.0,,
Car 46,116.0,28,13,,,done,done charging,919.0,,237.28032539394746
Car 37,80.0,12,15,,,done,done charging,930.0,,351.040784978442
Car 45,,,,27,,arrived,arrived,935.0,,
Car 45,,47,9,,,start_charge,starting to charge at Charger 9 (fid=47),935.0,,
Car 94,,,,73,,arrived,arrived,938.0,,
